flight_id,subseq_id,window_idx,top1_feature,top1_contrib,top2_feature,top2_contrib,top3_feature,top3_contrib,top4_feature,top4_contrib,top5_feature,top5_contrib
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,600,VSpd,0.6627984985092922,VSpdG,0.15198255504099584,E1_RPM,0.11849487342179105,AltB,0.045079571410464876,HDG,0.006439938772923553
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,601,VSpdG,0.6085635973115617,VSpd,0.19957793472631424,E1_RPM,0.12922312320409143,AltB,0.022089422769929645,Roll,0.007841745083325023
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,602,VSpd,0.5273822600962654,E1_RPM,0.1647079731231667,VSpdG,0.12669844086396775,E1_EGT4,0.03420857903326899,AltB,0.03167461021599194
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,603,VSpdG,0.6373027031979137,VSpd,0.18903046281294056,E1_RPM,0.08101305549126024,AltB,0.02700435183042008,HDG,0.016202611098251895
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,604,VSpd,0.5859791561452757,VSpdG,0.32438018501813004,E1_RPM,0.034278923661407674,AltB,0.031739744130932494,TAS,0.0063479488261864985
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,605,VSpdG,0.6979952506634478,VSpd,0.08222147444255874,Roll,0.06358855037823787,E1_RPM,0.04436410491504966,TAS,0.02957606994336644
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,606,VSpdG,0.5006269931131712,VSpd,0.3714175501287242,Roll,0.026541177095206214,E1_RPM,0.02542867266606439,HDG,0.022250088582807696
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,607,VSpd,0.5884922022139213,VSpdG,0.2055913527862077,E1_RPM,0.10331748185702917,AltB,0.0626166556709262,E1_EGT2,0.012523331134185713
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,608,VSpd,0.9374567071523201,VSpdG,0.023361540945009886,AltB,0.01797041611154607,TAS,0.005990138703848691,Roll,0.003354477674155267
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,609,VSpd,0.7364033036838495,VSpdG,0.13762367728016192,E1_RPM,0.05598251279193239,AltB,0.03498907049495642,E1_EGT2,0.0156284514877489
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,610,VSpd,0.7476975387341733,VSpdG,0.0810455920251049,E1_RPM,0.045718026270568236,Roll,0.04031498680223169,E1_EGT2,0.02909328944490663
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,611,VSpd,0.8471704440048371,VSpdG,0.04337619445475738,E1_RPM,0.03892735399785913,AltB,0.033366303426736396,Roll,0.011789427210780194
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,612,VSpdG,0.7430903986097476,VSpd,0.17633653109866235,E1_RPM,0.040103291353537636,AltB,0.011795085692218215,Roll,0.009200166839930208
