Latitude,Longitude,AltB,BaroA,OAT,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1_FFlow,E1_OilT,E1_OilP,E1_RPM,E1_CHT2,E1_CHT4,E1_EGT2,E1_EGT4,TAS,CRS,NAV1,NAV2,COM1,COM2,MagVar,VSpdG,HAL,HPLfd
47.9482651,-97.1722488,839.3,29.86,19.5,0.0,-6.54,2.12,0.38,0.0,0.01,359.5,267.5,28.0,27.9,6.3,0.3,19.45,21.07,2.08,144.72,60.76,1150.9,173.27,204.55,1054.45,1175.44,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,59.0
47.9482689,-97.1722488,838.3,29.86,19.5,0.0,2.53,2.13,0.36,-0.02,-0.01,359.4,267.5,27.9,27.9,6.2,0.3,19.43,21.07,2.06,144.66,60.38,1128.7,173.8,205.21,1054.11,1163.9,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,58.0
47.9482689,-97.1722488,838.3,29.86,19.5,0.0,-7.41,2.15,0.44,-0.0,0.02,359.5,267.5,27.9,27.9,6.0,0.3,19.43,21.07,2.05,144.6,60.44,1121.4,174.29,205.84,1055.97,1152.37,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,56.5
47.9482689,-97.1722488,837.3,29.86,19.5,0.0,-34.81,2.15,0.41,-0.02,0.03,359.5,267.5,27.9,27.9,6.0,0.3,19.38,21.07,2.02,144.55,60.38,1121.3,174.79,206.48,1060.08,1142.34,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,57.0
47.9482689,-97.1722488,837.3,29.86,19.5,0.0,-20.55,2.12,0.36,-0.01,-0.03,359.4,267.5,27.9,27.9,6.0,0.3,19.35,21.07,2.03,144.49,59.93,1097.8,175.3,207.11,1057.91,1133.95,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,57.5
47.9482651,-97.1722565,838.3,29.86,19.5,0.0,5.91,2.2,0.38,-0.02,0.04,359.5,267.5,27.9,27.9,6.1,0.3,19.3,21.1,1.97,144.44,59.26,1060.9,175.79,207.71,1042.21,1124.35,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,16.5
47.9482651,-97.1722565,838.3,29.86,19.5,0.0,15.97,2.21,0.38,-0.01,-0.02,359.5,267.5,27.9,27.9,5.9,0.3,19.3,21.1,1.91,144.38,58.84,1025.8,176.25,208.35,1033.25,1113.16,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,16.5
47.9482651,-97.1722565,838.3,29.86,19.5,0.0,16.02,2.22,0.4,-0.0,0.01,359.5,267.5,27.9,27.8,5.8,0.3,19.3,21.07,1.94,144.32,58.82,1023.0,176.81,209.09,1034.95,1102.61,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,17.0
47.9482651,-97.1722641,837.3,29.86,19.5,0.0,-3.58,2.19,0.35,-0.0,-0.04,359.5,267.5,27.9,27.9,5.9,0.3,19.3,21.1,1.94,144.27,58.79,1016.6,177.22,209.65,1026.59,1092.03,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,16.5
47.9482651,-97.1722565,838.3,29.86,19.5,0.0,-14.84,2.2,0.4,-0.01,0.01,359.5,267.5,27.9,27.8,5.8,0.3,19.3,21.1,1.92,144.22,58.76,1024.2,177.72,210.32,1021.55,1082.83,0,308.4,114.3,114.3,120.55,123.3,3.2,0.0,3704.0,16.5
