file,window_idx,start_idx,cluster_id,nearest_dist
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,190,4750,2,1618.9693067906487
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,191,4775,2,1581.7725992570709
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,192,4800,2,1519.483863538061
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,193,4825,2,1428.0839382359964
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,194,4850,2,1420.0785718392065
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,195,4875,2,1443.9169844116946
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,196,4900,2,1472.078216720061
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,197,4925,2,1294.152604062299
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,198,4950,2,1178.0124671806184
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,199,4975,2,1562.0721936317154
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,200,5000,2,1588.5443455654852
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,201,5025,2,1601.8047308318992
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,202,5050,2,1584.723660835495
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,203,5075,2,1545.1527032843162
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,204,5100,2,1533.412069557072
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,205,5125,2,1530.5888902521813
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,206,5150,2,1536.2396326552332
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,207,5175,2,1541.2314256837283
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,208,5200,2,1541.126321956344
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,209,5225,2,1538.6124529185563
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,210,5250,2,1539.2954848997008
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,211,5275,2,1539.2582990677645
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,212,5300,2,1490.846177688319
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,213,5325,2,1457.6895934608408
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,214,5350,2,1482.5933233052922
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,215,5375,2,1499.5482699375214
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,216,5400,2,1495.521891142369
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,217,5425,2,1329.6084017652897
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,218,5450,2,1203.2748267065215
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,219,5475,2,1565.80994720381
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,220,5500,2,1589.5268392227972
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,221,5525,2,1596.4092714393341
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,222,5550,2,1568.0015780306164
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,223,5575,2,1545.28681228746
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,224,5600,2,1539.4106181421776
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,225,5625,2,1552.297478137223
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,226,5650,2,1552.3474716057624
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,227,5675,2,1554.336436559991
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,228,5700,2,1553.6125719114514
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,229,5725,2,1498.318463581867
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,230,5750,2,1424.1879841174705
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,231,5775,2,1393.1309141171853
