window_stem,path,mean_abs_z,top1_feature,top1_z,top2_feature,top2_z,top3_feature,top3_z
window_4025,exact_data/anomaly/window_4025.csv,0.6001260203178443,E1 CHT1__max,1.3525282499584823,E1 CHT1__mean,1.2587972903924822,IAS__min,1.1447561040572152
window_10700,exact_data/anomaly/window_10700.csv,0.5995865540713894,AltMSL__min,2.0296335733223083,AltMSL__max,2.0064427826404323,AltMSL__mean,2.0019706441420886
window_2075,exact_data/anomaly/window_2075.csv,0.5990096305841478,AltMSL__min,2.38250232678091,AltMSL__mean,2.3617964392323803,AltMSL__max,2.323161239467603
window_7625,exact_data/anomaly/window_7625.csv,0.5983026385478644,AltMSL__min,2.010413366859968,AltMSL__mean,1.9775878099110498,AltMSL__max,1.9447232884894963
window_1575,exact_data/anomaly/window_1575.csv,0.5981098068469938,E1 CHT1__min,1.2414067371712727,E1 CHT1__mean,1.2340251988065405,E1 CHT1__max,1.2245588181230147
window_2750,exact_data/anomaly/window_2750.csv,0.5971368359985886,AltMSL__mean,2.3100062501950815,AltMSL__max,2.3043770455955785,AltMSL__min,2.2992147654441006
window_2925,exact_data/anomaly/window_2925.csv,0.5969727686969815,AltMSL__min,2.357729616229449,AltMSL__mean,2.3282360753808993,AltMSL__max,2.2942081586874155
window_3000,exact_data/anomaly/window_3000.csv,0.596493630644538,AltMSL__min,2.414607190168005,AltMSL__mean,2.410531389907365,AltMSL__max,2.3872817208051877
window_17850,exact_data/anomaly/window_17850.csv,0.5957215138307772,E1 FFlow__min,2.240509995970976,E1 FFlow__mean,2.0242613989499003,E1 FFlow__max,1.6946573828564302
window_21550,exact_data/anomaly/window_21550.csv,0.5952923541677293,E1 EGT1__min,1.056141792630575,E1 EGT1__mean,1.0394461944831235,AltMSL__min,1.0390098950633013
window_9850,exact_data/anomaly/window_9850.csv,0.5931323792533264,E1 FFlow__min,2.0881844297884142,E1 FFlow__mean,1.9339606328827317,E1 FFlow__max,1.6353649988216932
window_11350,exact_data/anomaly/window_11350.csv,0.5929007627712984,NormAc__min,1.5007320754426958,NormAc__std,1.475797012423384,E1 EGT1__min,1.0117130621213453
window_23625,exact_data/anomaly/window_23625.csv,0.5911772042307456,IAS__std,1.226497378725259,E1 EGT1__max,1.0345421699608706,E1 FFlow__max,0.9665469069098589
window_16650,exact_data/anomaly/window_16650.csv,0.5904511434847727,E1 FFlow__min,2.192273566679831,E1 FFlow__mean,1.979195409155631,AltMSL__std,1.7359979501714464
window_9875,exact_data/anomaly/window_9875.csv,0.5877239590748463,AltMSL__std,2.309794007299847,E1 FFlow__min,2.0983394675339184,E1 FFlow__mean,1.910668098831761
window_18625,exact_data/anomaly/window_18625.csv,0.5869053461498007,E1 FFlow__min,2.1871960478070793,E1 FFlow__mean,1.9894069911127596,E1 FFlow__max,1.6780555153267038
window_11425,exact_data/anomaly/window_11425.csv,0.5863316829705814,NormAc__max,1.2353040765574894,E1 EGT1__min,1.0137908844560266,E1 RPM__min,0.9850444070165599
window_25650,exact_data/anomaly/window_25650.csv,0.5863040530487862,NormAc__mean,2.0276313634861536,E1 CHT1__min,1.3472681629494558,NormAc__min,1.2868192629074335
window_25225,exact_data/anomaly/window_25225.csv,0.5855999247271025,NormAc__std,1.4825936650239198,NormAc__max,1.2134741796845157,NormAc__min,1.1835766207463179
window_22500,exact_data/anomaly/window_22500.csv,0.5850612049480126,NormAc__max,1.6611785559039254,AltMSL__min,1.081579093079893,AltMSL__mean,1.048450363389063
window_22850,exact_data/anomaly/window_22850.csv,0.5847190711886008,NormAc__mean,2.1699482274763446,NormAc__min,1.3900619050685494,AltMSL__min,1.0382980355646962
window_16400,exact_data/anomaly/window_16400.csv,0.5840073204114237,E1 FFlow__min,2.1846572883707034,E1 FFlow__mean,1.9853561156256339,E1 FFlow__max,1.6756838199653143
window_15425,exact_data/anomaly/window_15425.csv,0.5839761365848412,NormAc__mean,2.0133996770871345,E1 FFlow__mean,1.9042542126438133,E1 FFlow__max,1.6401083895444721
window_22300,exact_data/anomaly/window_22300.csv,0.5831962884890469,AltMSL__min,1.1010840433416758,NormAc__min,1.0877615067982322,E1 EGT1__min,1.068914288746708
window_11375,exact_data/anomaly/window_11375.csv,0.5825021970807865,NormAc__min,1.1910041489593477,NormAc__max,1.128835456720881,NormAc__std,1.0920339739111422
window_25175,exact_data/anomaly/window_25175.csv,0.5793498540020761,NormAc__std,1.344960811099745,NormAc__max,1.3199427995211244,IAS__min,1.107443888961302
window_4125,exact_data/anomaly/window_4125.csv,0.5792186487580193,NormAc__max,2.19352165508697,IAS__min,1.2612850219721439,IAS__max,1.2002004469384295
window_4100,exact_data/anomaly/window_4100.csv,0.5791719571366193,NormAc__max,2.19352165508697,IAS__max,1.2002004469384295,IAS__min,1.1312663032148464
window_3725,exact_data/anomaly/window_3725.csv,0.5789876048293181,AltMSL__mean,2.18166260991084,AltMSL__min,2.1777715349820523,AltMSL__max,2.166814603254591
window_25200,exact_data/anomaly/window_25200.csv,0.5782009832221626,NormAc__std,1.5145380920954654,NormAc__min,1.2868192629074335,IAS__min,1.1137582638236874
window_4050,exact_data/anomaly/window_4050.csv,0.573628338856725,IAS__min,1.1972802222306933,E1 CHT1__max,1.1347136574401162,E1 CHT1__mean,1.1287754855858985
window_21925,exact_data/anomaly/window_21925.csv,0.5719315903681911,IAS__min,1.0781681509629701,E1 EGT1__min,1.0742310694266304,AltMSL__min,1.0705452708515122
window_15400,exact_data/anomaly/window_15400.csv,0.5692293418790945,E1 FFlow__min,2.2049673638617118,E1 FFlow__mean,1.9927827206853637,E1 FFlow__max,1.6661970385197566
window_25375,exact_data/anomaly/window_25375.csv,0.5669901009614821,NormAc__min,1.1835766207463179,IAS__min,1.166282381997165,IAS__mean,1.0738655071408347
window_22275,exact_data/anomaly/window_22275.csv,0.5668329682898439,E1 EGT1__min,1.068914288746708,AltMSL__min,1.0667724155089044,E1 EGT1__mean,1.0525002390115559
window_22025,exact_data/anomaly/window_22025.csv,0.5651229627222853,AltMSL__min,1.0624300725674127,E1 EGT1__min,1.0610918987808464,E1 EGT1__mean,1.0403930569335342
window_21500,exact_data/anomaly/window_21500.csv,0.5648953387918074,NormAc__min,1.0803339785852017,AltMSL__min,1.0298269075312942,E1 EGT1__min,0.9939293474333311
window_25150,exact_data/anomaly/window_25150.csv,0.5619216339569931,NormAc__std,1.1474878404427016,IAS__min,1.107156871922103,NormAc__max,1.1070055598479065
window_21650,exact_data/anomaly/window_21650.csv,0.5548603906177829,NormAc__min,1.0803339785852017,AltMSL__min,1.0303252091803181,E1 EGT1__min,1.0246077830806946
window_25325,exact_data/anomaly/window_25325.csv,0.5538994292060592,IAS__min,1.1484873255668067,NormAc__min,1.0803339785852017,NormAc__std,1.0332735789432952
window_21450,exact_data/anomaly/window_21450.csv,0.5537975947030197,E1 CHT1__max,1.3197494139428776,E1 CHT1__mean,1.213852395006215,E1 CHT1__min,1.1015292225778828
window_24950,exact_data/anomaly/window_24950.csv,0.5513111701031577,E1 CHT1__max,1.5937528998271364,E1 CHT1__mean,1.5907875821003168,E1 CHT1__min,1.5271206739304184
window_25275,exact_data/anomaly/window_25275.csv,0.5508939040163133,IAS__min,1.1421729507044214,IAS__mean,1.0203006690272132,NormAc__max,1.0005369400112978
window_9625,exact_data/anomaly/window_9625.csv,0.548688815194962,NormAc__std,1.5364367987930085,E1 CHT1__max,1.1793342492306778,E1 CHT1__mean,1.0649256859295855
window_23525,exact_data/anomaly/window_23525.csv,0.5485971156631737,E1 FFlow__std,1.5862610008026536,AltMSL__min,0.9489596684897427,AltMSL__mean,0.9248797946375976
window_22075,exact_data/anomaly/window_22075.csv,0.5480014141244569,NormAc__mean,1.0464128987019814,E1 EGT1__min,1.0403136754340272,E1 EGT1__mean,1.0387962914644573
window_8800,exact_data/anomaly/window_8800.csv,0.5470234770212143,AltMSL__min,2.0634468995060558,AltMSL__mean,2.0261809861840705,AltMSL__max,1.9939435258158145
window_9275,exact_data/anomaly/window_9275.csv,0.5468465914075606,NormAc__std,1.4280753980228087,NormAc__max,1.128835456720881,E1 CHT1__max,1.0712532602268736
window_21475,exact_data/anomaly/window_21475.csv,0.5464437901626475,AltMSL__min,1.028972676132968,AltMSL__mean,0.9926432329627954,E1 EGT1__mean,0.97417840593466
window_4075,exact_data/anomaly/window_4075.csv,0.5451460183672664,IAS__min,1.1117491445492922,E1 EGT1__min,1.0738032824753727,E1 EGT1__mean,1.0588069757956615
window_22050,exact_data/anomaly/window_22050.csv,0.5445233632458832,E1 EGT1__min,1.0692198508547506,E1 EGT1__mean,1.0492726307615698,AltMSL__min,1.0271218414365946
window_21625,exact_data/anomaly/window_21625.csv,0.5440551790533019,E1 EGT1__min,1.0582196149652565,E1 EGT1__mean,1.037094859966161,AltMSL__min,1.0303252091803181
window_23600,exact_data/anomaly/window_23600.csv,0.543929882563793,E1 FFlow__std,2.1402185196405044,E1 RPM__std,1.1191887849075495,AltMSL__min,0.9812780897264192
window_21900,exact_data/anomaly/window_21900.csv,0.5432622515706459,AltMSL__min,1.0699045973027674,E1 EGT1__min,1.06671424156881,E1 EGT1__mean,1.0450519122808075
window_9650,exact_data/anomaly/window_9650.csv,0.5418783346093551,E1 FFlow__std,1.5749746431884404,E1 RPM__std,1.3150728000110663,NormAc__std,1.246953392510999
window_25400,exact_data/anomaly/window_25400.csv,0.5416450440319208,IAS__min,1.2343054202874069,IAS__mean,1.1009660758840647,E1 RPM__min,1.0356207018024324
window_8600,exact_data/anomaly/window_8600.csv,0.541167900093962,AltMSL__min,2.051416473979628,AltMSL__mean,2.0114293596597586,AltMSL__max,1.9758655046457467
window_22325,exact_data/anomaly/window_22325.csv,0.5406296660999479,AltMSL__min,1.071470688199699,E1 EGT1__min,1.0697087502276166,AltMSL__mean,1.0587597253185153
window_21950,exact_data/anomaly/window_21950.csv,0.5400599568282045,E1 EGT1__min,1.065736442823077,E1 EGT1__mean,1.0402640499672813,IAS__min,1.0173205386527118
window_21975,exact_data/anomaly/window_21975.csv,0.5397961686599901,E1 EGT1__min,1.065736442823077,E1 EGT1__mean,1.0522763023908936,IAS__min,1.0509015322390336
window_4175,exact_data/anomaly/window_4175.csv,0.53821127928618,NormAc__min,1.5007320754426958,IAS__min,1.1708746546243547,IAS__mean,1.143665620161464
window_9200,exact_data/anomaly/window_9200.csv,0.5372374977772931,E1 CHT1__max,2.139503279983113,E1 CHT1__mean,2.108030009818552,E1 CHT1__min,2.006197889767199
window_2950,exact_data/anomaly/window_2950.csv,0.5372021425245967,AltMSL__min,2.364278723616617,AltMSL__mean,2.341265142921354,AltMSL__max,2.301905441138733
window_21850,exact_data/anomaly/window_21850.csv,0.532937859086546,AltMSL__min,1.0597961924225736,E1 EGT1__min,1.036158030764663,E1 EGT1__mean,1.0287532208464656
